Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
96,35ХМ,,,35CrMo,,ГОСТ 4543-2016,5.10,Прокат,1
97,35ХМ,,,35CrMo,,ГОСТ 4543-2016,7.00,Труба,1
98,35ХМ,,,35CrMo,,ГОСТ 4543-2016,8.50,Поковка,1
99,35ХМА,,,35CrMo,,ГОСТ 4543-2016,10.00,Поковка,1
100,35ХМФА,,,35CrMoV,,ГОСТ ТУ,10.00,Поковка,1
101,35ХН1М2ФА,,,35Cr2Ni2MoV,,ГОСТ ТУ,18.00,Поковка,1
102,35ХН2МА,,,35CrNiMo,,ГОСТ 4543-2016,,,1
103,35ХН2Ф,,,35CrNiMo,,ГОСТ ТУ,,,1
104,35ХНВ,,,35CrNiW,,ГОСТ 4543-2016,,,1
105,36Х2Н2МФА,,,40CrNiMoVA,,ГОСТ 4543-2016,,,1
106,38Х2МЮА,,,38CrMoАl,,ГОСТ 4543-2016,14.00,Поковка,1
107,38Х2Н2МА,,,45CrNiMo,,ГОСТ 4543-2016,16.00,Поковка,1
108,38Х2Н3М,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
109,38Х2НМ,,,40CrNiMoA,,ГОСТ 4543-2016,14.00,Поковка,1
110,38Х2НМА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
111,38Х2Ю,,,38CrMoAl,,ГОСТ 4543-2016,,,1
112,38ХА,,,35Cr,,ГОСТ 4543-2016,8.00,Поковка,1
113,38ХГМ,,,35CrMnMo,,ГОСТ 4543-2016,8.00,Поковка,1
114,38ХГН,,,39NiCrMo3,,ГОСТ 4543-2016,8.00,Поковка,1
115,38ХМ,,,42CrMo4,,ГОСТ 4543-2016,9.50,Поковка,1
116,38ХМА,,,35CrMo,,ГОСТ 4543-2016,9.50,Поковка,1
117,38ХМЮА,,,38CrMoАl,,ГОСТ 4543-2016,10.00,Поковка,1
118,38ХН1М2ФА,,,34NiCrMoV14-5,,ГОСТ ТУ,18.00,Поковка,1
119,38ХН3МА,,,38CrNiMoA,,ГОСТ 4543-2016,,,1
120,38ХН3МФА,,,37CrNi3,,ГОСТ 4543-2016,18.00,Поковка,1
121,38ХНМ,,,42CrNiMo,,ГОСТ 4543-2016,11.50,Поковка,1
122,38ХНМА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
123,38ХС,,,37SiMn2MoV,,ГОСТ 4543-2016,10.50,Поковка,1
124,38ХФР,,,40CrV,,ГОСТ 4543-2016,18.00,Поковка,1
125,40Г1ТР,,,40MnTiB,,ГОСТ 4543-2016,,,1
126,40ГМФР,,,,,ГОСТ 4543-2016,,,1
127,40Х1МФА,,,40CrMoV,,ГОСТ 4543-2016,18.00,Поковка,1
128,40Х2Н2МА,,,40CrNi2MoA,,ГОСТ 4543-2016,14.00,Поковка,1
129,40Х2НМА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
