"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Кольцо уплотнительное втулки вала D109S10","по каталожному №","АГД ДАЙМОНДС","4.000","0.1","","6.40","64.00","64.00","Коновалов Данила Евгеньевич","09.01.2024, Проиграли","0.4","35,00"
"Кольцо уплотнительное втулки вала E109S10 для насосов Warman","Warman","Базовые Металлы","6.000","0.1","","4.00","40.00","40.00","Коновалов Данила Евгеньевич","09.01.2024, Проиграли","0.6","15,00"
"Кольцо уплотнительное втулки вала, E109S10","E109S10","АГД ДАЙМОНДС","4.000","0.2","","8.00","40.00","40.00","Коновалов Данила Евгеньевич","09.01.2024, Проиграли","0.8","20,00"
"Кольцо уплотнительное вала E064S10","E064S10","СУСУМАНЗОЛОТО АО","12.000","0.3","","64.00","213.33","213.33","Коновалов Данила Евгеньевич","27.08.2025, Подались","3.6","10,00"
"Кольцо уплотнительное втулки вала, G109S10","G109S10","АГД ДАЙМОНДС","12.000","0.3","","13.60","45.33","45.33","Коновалов Данила Евгеньевич","09.01.2024, Проиграли","3.6","23,33"
"Кольцо уплотнительное защитной втулки вала Warman 3/2C-АН кат. номер C109S10","кат. номер C109S10","ТД Полиметалл","1.000","0.5","10","50.00","100.00","100.00","Коновалов Данила Евгеньевич","18.11.2024, Проиграли","0.5","10,00"
"Кольцо втулки вала для насоса Warman 6/4 DDAH в составе комплекта DAM-MC23 черт.AH64DD-CCM-B15 (поз.","Warman","Базовые Металлы","4.000","2.21","","103.00","46.61","46.61","Коновалов Данила Евгеньевич","09.01.2024, Проиграли","8.84","24,89"
"Кольцо для валка клетей поковка ч.8.2.3.2/00.006 И","8.2.3.2/00.006 И","ОЭМК","20.000","16.8","40ХН","3,857.49","229.61","229.61","Максутов Бектурсун Абдилнабиевич","06.03.2024, Проиграли","336","150,00"
"Комлект","","","","","","","","","","","112,758","20,00"
"Комлект челюстей корзины завалочной ч.C.RBR0.SE1.1331-M2010","C.RBR0.SE1.1331-M2010","ПромСорт-Калуга","3.000","37,586","СБ","2,428,732.15","64.62","64.62","Диденко Виталий Тимофеевич","15.08.2025, Подались","112,758","20,00"
"Комплект","","","","","","","","","","","985","48,00"
"Комплект запчастей 4L17126 аналог или эквивалент","SPM Flow Control Products Catalog","РН-ГРП","50.000","5","","1,350.00","270.00","270.00","Солнышкин Дмитрий Сергеевич","30.06.2025, Мониторинг цен","250","150,00"
"Комплект запчастей 4L17660 аналог или эквивалент","SPM Flow Control Products Catalog","РН-ГРП","50.000","5","","1,350.00","270.00","270.00","Солнышкин Дмитрий Сергеевич","30.06.2025, Мониторинг цен","250","150,00"
"Комплект зубчатых колес с валами к редуктору Wikov 19Н-В правая сторона ч.35742.00.000 СБ","35742.00.000 СБ","ПРОМСОРТ","1.000","485","СБ","45,879.29","94.60","94.60","Диденко Виталий Тимофеевич","17.09.2025, Отменен","485","48,00"
"Корпус","","","","","","","","","","","3,242","25,00"
"Корпус подшипника вала ч.30764/1302","30764/1302","БСК","1.000","326","СЧ18-36","18,900.00","57.98","57.98","Лебедев Николай Леонидович","11.02.2025, Не участвовали","326","44,48"
"Корпус валка ч.31М67.01.005","31М67.01.005","Евраз НТМК","4.000","729","Ст.35Л","37,251.00","51.10","51.10","Григорян Саркис Владимирович","31.08.2024, Проиграли","2,916","25,00"
"Крышка","","","","","","","","","","","818,899","13,04"
"Крышка крепительная Вал ведущий ч.9801-07.40.00.001Л 001","9801-07.40.00.001Л 001","УК РМ РЕЙЛ","96,600.000","8.4","ZG270-500","350.00","41.67","41.67","Лебедев Николай Леонидович","26.12.2024, Проиграли","811,440","20,83"
"Крышка подшипника вала ч.23352/1301","23352/1301","БСК","1.000","103","СЧ18-36","8,000.00","77.67","77.67","Лебедев Николай Леонидович","11.02.2025, Не участвовали","103","37,86"
"Крышка валка ч.9.55.162","9.55.162","Евраз НТМК","1.000","368","45","7,800.00","21.20","21.20","Лебедев Николай Леонидович","01.04.2024, Выиграли","368","13,04"
"Крышка валка ч.9.55.162","9.55.162","Евраз НТМК","1.000","368","45","13,248.00","36.00","36.00","Григорян Саркис Владимирович","23.11.2024, Проиграли","368","18,00"
"Крышка главного валка ч.9.55.143","9.55.143","Евраз НТМК","1.000","1,655","СШХНМ-40","49,650.00","30.00","30.00","Григорян Саркис Владимирович","23.11.2024, Проиграли","1,655","15,00"
"Крышка главного валка ч.9.55.143","9.55.143","Евраз НТМК","3.000","1,655","СШХНМ-40","49,650.00","30.00","30.00","Григорян Саркис Владимирович","23.11.2024, Проиграли","4,965","15,00"
"М","","","","","","","","","","","596,276.2",""
"Моновалок","","","","","","","","","","","572,198",""
"Моновалок ч.В-239141-02-09-1","В-239141-02-09-1","ТАГМЕТ","30.000","624","9ХФ","60,000.00","96.15","96.15","Валитов Рамиль Амирханович","03.05.2023, Проиграли","18,720",""
"Моновалок ч.В-239141-02-09-1","В-239141-02-09-1","ТАГМЕТ","60.000","624","9ХФ","31,320.00","50.19","43.27","Морев И.В.","18.04.2024, Проиграли","37,440","27,88"
"Моновалок ч.В-239141-02-09-1","В-239141-02-09-1","ТАГМЕТ","60.000","624","9ХФ","34,015.00","54.51","54.51","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","37,440",""
"Моновалок ч.В-243775-1","В-243775-1","ТАГМЕТ","10.000","658","9Х1","33,120.00","50.33","43.01","Морев И.В.","18.04.2024, Проиграли","6,580","27,96"
"Моновалок ч.В-243775-1","В-243775-1","ТАГМЕТ","10.000","658","9Х1","42,225.00","64.17","64.17","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","6,580",""
"Моновалок K190 G4-G5 ч.Э-403175-4","Э-403175-4","ТАГМЕТ","27.000","682","ТШХНМ-42","27,045.00","39.66","39.66","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","18,414",""
"Моновалок K190 G4-G5 ч.Э-403175-4","Э-403175-4","ТАГМЕТ","30.000","682","ТШХНМ-42","25,930.80","38.02","32.26","Морев И.В.","18.04.2024, Проиграли","20,460","21,12"
"Моновалок K181 G4-G5 ч.Э-403175-2","Э-403175-2","ТАГМЕТ","12.000","683","ТШХНМ-42","25,930.80","37.97","32.21","Морев И.В.","18.04.2024, Проиграли","8,196","21,09"
"Моновалок K181 G4-G5 ч.Э-403175-2","Э-403175-2","ТАГМЕТ","12.000","683","ТШХНМ-42","28,005.00","41.00","41.00","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","8,196",""
"Моновалок ч.5214-А","5214-А","ТАГМЕТ","60.000","925","ТШХН-51","33,559.20","36.28","30.81","Морев И.В.","18.04.2024, Проиграли","55,500","20,16"
"Моновалок ч.5214-А","5214-А","ТАГМЕТ","120.000","925","ТШХН-51","31,000.00","33.51","33.51","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","111,000",""
"Моновалок K181 G3 ч.Э-403175-1-02","Э-403175-1-02","ТАГМЕТ","18.000","1,000","ТШХНМ-42","36,532.80","36.53","30.80","Морев И.В.","18.04.2024, Проиграли","18,000","20,30"
"Моновалок K181 G3 ч.Э-403175-1-02","Э-403175-1-02","ТАГМЕТ","18.000","1,000","ТШХНМ-42","38,045.00","38.05","38.05","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","18,000",""
"Моновалок K190 G3 ч.Э-403175-3-02","Э-403175-3-02","ТАГМЕТ","102.000","1,018","ТШХНМ-42","36,395.00","35.75","30.26","Морев И.В.","18.04.2024, Проиграли","103,836","19,86"
"Моновалок K190 G3 ч.Э-403175-3-02","Э-403175-3-02","ТАГМЕТ","102.000","1,018","ТШХНМ-42","38,095.00","37.42","37.42","Солнышкин Дмитрий Сергеевич","22.05.2023, Выиграли частично","103,836",""
"Муфта","","","","","","","","","","","24,078.2",""
"Муфта шпиндельная валковая ч.Г31-03600.1-014-431","Г31-03600.1-014-431","ОЭМК","2.000","63.5","38ХМ","4,365.78","68.75","68.75","Давлетмурзаев Амирсултан Адильсултанович","15.01.2024, Выиграли","127","47,24"
"Муфта приводного вала ч.023-01.004686.00 СБ","023-01.004686.00 СБ","Магнезит Комбинат","1.000","67.2","СБ","6,255.03","93.08","93.08","Жуков Евгений Александрович","07.03.2024, Проиграли","67.2","52,08"
"Муфта валка 4-5 ч.А.04.29-596-259.4 СБ","А.04.29-596-259.4 СБ","СТЗ","9.000","162","СБ","8,500.00","52.47","52.47","Лебедев Станислав Артурович","21.12.2023, Выиграли","1,458",""
"Муфта зубчатая с валом ч.02-1360.10.00.000 СБ","02-1360.10.00.000 СБ","КМК ТЭМПО","1.000","257","СБ","118,659.58","461.71","461.71","Диденко Виталий Тимофеевич","16.02.2024, Отменен","257","237,35"
"Муфта редуктора (Промвал привода) ч.GO-6AMM","GO-6AMM","АЭМЗ","2.000","284","","66,000.00","232.39","232.39","Хусаева Патимат Халидовна","14.08.2025, Проиграли","568","120,07"
"Муфта валка 1-2-3 291 ч.А.04.29-596-259.3 СБ","А.04.29-596-259.3 СБ","СТЗ","12.000","402","СБ","19,500.00","48.51","48.51","Лебедев Станислав Артурович","21.12.2023, Выиграли","4,824",""
"Муфта валка 1-2-3 384 ч.А.04.29-596-259.2 СБ","А.04.29-596-259.2 СБ","СТЗ","18.000","413","СБ","19,500.00","47.22","47.22","Лебедев Станислав Артурович","21.12.2023, Выиграли","7,434",""
"Муфта соединения с промвалом ч.МПЦ.ПОМ.03.06.25.0422.00.000 СБ","МПЦ.ПОМ.03.06.25.0422.00.000 СБ","Цемрос","1.000","3,233","СБ","530,000.00","163.93","49.80","Баяндин Олег Николаевич","01.08.2025, Подались","3,233","22,00"
"Муфта валковая ч.8-75607 СБ","8-75607 СБ","ММК","1.000","6,110","СБ","315,900.00","51.70","41.17","Лебедев Станислав Артурович","19.06.2025, Проиграли","6,110","19,15"
"О","","","","","","","","","","","503,106.24",""
"Опора","","","","","","","","","","","3,308.76","26,57"
"Опора вала ч.05-05-1408.401.00 СБ","05-05-1408.401.00 СБ","Чусовской металлургический завод","4.000","288.96","СБ","16,000.00","55.37","55.37","Солнышкин Дмитрий Сергеевич","19.02.2025, Проиграли","1,155.84","26,57"
"Опора вала для DOM 5543 ч.Б087 СБ","Б087 СБ","Промсорт-Урал","2.000","1,076.46","СБ","62,000.00","57.60","49.70","Диденко Виталий Тимофеевич","14.03.2025, Выиграли частично","2,152.92","27,87"
"Опорный","","","","","","","","","","","454,298","13,00"
"Опорный ролик бочки (в сборе с валом) 19-2 ч.1/19-2","19-2","САХА ГОЛД МАЙНИНГ","1.000","1,498","СБ","40,000.00","26.70","26.03","Зырянов Олег Юрьевич","31.10.2025, Подались","1,498","13,00"
"Опорный валок 2302Х4950Х11226 ч.20969170","20969170","ММК","2.000","226,400","60CrNi","7,500,000.00","33.13","33.13","Ряхимов Али Рафикович","11.10.2024, Проиграли","452,800","17,97"
"Оснастка","","","","","","","","","","","300",""
"Оснастка для изготовления Вала УНБТ-1180М","","Уралмаш НГО Холдинг","1.000","300","","60,000.00","200.00","200.00","Григорян Саркис Владимирович","16.01.2023, Выиграли","300",""
"Ось","","","","","","","","","","","44,458.48",""
"Ось валка ч.3-333266","3-333266","ТАГМЕТ","16.000","3","45","","","","Валитов Рамиль Амирханович","17.01.2024, Выиграли частично","48",""
"Ось валка ч.3-326709","3-326709","ТАГМЕТ","20.000","12","45Х","1,102.50","91.88","","Валитов Рамиль Амирханович","17.01.2024, Выиграли частично","240",""
"Ось валка ч.РШ 15.108.03","РШ 15.108.03","Чусовской металлургический завод","2.000","77.74","40ХН2МА","5,550.00","71.39","71.39","Солнышкин Дмитрий Сергеевич","02.06.2025, Проиграли","155.48","38,59"
"Ось приводного валка ч.7-968.101.01","7-968.101.01","Киберсталь","4.000","105","45","3,500.00","33.33","33.33","Хусаева Патимат Халидовна","15.08.2025, Проиграли","420","15,00"
"Ось холостого валка ч.7-968.102.01","7-968.102.01","Киберсталь","3.000","111","45","4,000.00","36.04","36.04","Хусаева Патимат Халидовна","15.08.2025, Проиграли","333","15,00"
"Ось бандажированного прокатного валка ч.ВС-1531.2021.05Б","ВС-1531.2021.05Б","БМЗ","12.000","390","40Х","49,165.00","126.06","126.06","Солнышкин Дмитрий Сергеевич","19.12.2024, Проиграли","4,680","31,52"
"Ось бандажированного прокатного валка ч.ВС-1531.2021.03Б","ВС-1531.2021.03Б","БМЗ","12.000","450","40Х","66,125.00","146.94","146.94","Солнышкин Дмитрий Сергеевич","19.12.2024, Проиграли","5,400","36,74"
"Ось бандажированного прокатного валка ч.ВС-1531.2021.02Б","ВС-1531.2021.02Б","БМЗ","12.000","486","40Х","50,336.25","103.57","103.57","Солнышкин Дмитрий Сергеевич","19.12.2024, Проиграли","5,832","34,52"
"Ось бандажированного прокатного валка ч.ВС-1531.2021.12.14Б","ВС-1531.2021.12.14Б","БМЗ","10.000","630","40Х","58,893.75","93.48","93.48","Солнышкин Дмитрий Сергеевич","19.12.2024, Проиграли","6,300","31,16"
"Ось валка (заготовка) ч.0607-398П-ПМ","0607-398П-ПМ","ПНТЗ","4.000","875","40Х","24,429.68","27.92","20.04","Максутов Бектурсун Абдилнабиевич","21.02.2024, Проиграли","3,500",""
"Ось валковая  (полуобработанная) ч.0611-919П-А-ПМ","0611-919П-А-ПМ","ПНТЗ","4.000","1,950","30ХГСА","40,504.51","20.77","","Максутов Бектурсун Абдилнабиевич","21.02.2024, Проиграли","7,800",""
"Ось валковая  (полуобработанная) ч.0611-919П-А-ПМ","0611-919П-А-ПМ","ПНТЗ","5.000","1,950","30ХГСА","52,000.00","26.67","15.90","Ряхимов Али Рафикович","28.10.2024, Проиграли","9,750","8,46"
"Отсекатель","","","","","","","","","","","741","25,00"
"Отсекатель нижнего рабочего валка ч.ПК 108054.05.000 СБ","ПК 108054.05.000 СБ","ММК","1.000","741","СБ","51,870.00","70.00","64.81","Лебедев Станислав Артурович","01.10.2025, Проиграли","741","25,00"
"П","","","","","","","","","","","314,912.56",""
"Плита","","","","","","","","","","","892","120,00"
"Плита опорная скольжения сторона валков ч.20973399","20973399","ВМЗ","4.000","223","CuSn12Ni2-C-GS","53,520.00","240.00","240.00","Солнышкин Дмитрий Сергеевич","27.07.2024, Выиграли частично","892","120,00"
"Подвенцовая","","","","","","","","","","","625.26","23,19"
"Подвенцовая Шестерня в сборе с Валом","Эскиз","Щекиноазот ТД","2.000","312.63","СБ","15,000.00","47.98","47.98","Лебедев Николай Леонидович","15.09.2025, Отменен","625.26","23,19"
"Подушка","","","","","","","","","","","97,550",""
"Подушка верхнего рабочего валка правая ч.ЛО-225-1-69","ЛО-225-1-69","Красный октябрь Корпорация","1.000","320","40Х","13,650.00","42.66","","Морев И.В.","12.01.2024, Выиграли","320",""
"Подушка нижнего рабочего валка правая ч.ЛО-225-1-65","ЛО-225-1-65","Красный октябрь Корпорация","1.000","320","40Х","13,650.00","42.66","","Морев И.В.","12.01.2024, Выиграли","320",""
"Подушка верхнего рабочего валка левая ч.ЛО-225-1-68","ЛО-225-1-68","Красный октябрь Корпорация","1.000","346","40Х","13,650.00","39.45","","Морев И.В.","12.01.2024, Выиграли","346",""
"Подушка нижнего рабочего валка левая ч.ЛО-225-1-64","ЛО-225-1-64","Красный октябрь Корпорация","1.000","346","40Х","13,650.00","39.45","","Морев И.В.","12.01.2024, Выиграли","346",""
"Подушка верхняя замковая рабочего валка (левая) ч.5802.32.116","5802.32.116","Ашинский метзавод","2.000","560","40Х","29,320.15","52.36","52.36","Максутов Бектурсун Абдилнабиевич","05.08.2024, Отменен","1,120",""
"Подушка нижняя сторона перевалки А790Х В350 Х Н468мм ч.1-182461","1-182461","ММК","2.000","607","45","26,000.00","42.83","42.83","Лебедев Станислав Артурович","30.07.2024, Проиграли","1,214","22,49"
"Подушка нижняя сторона перевалки А790Х В350 Х Н468мм ч.1-182461","1-182461","ММК","2.000","607","45","37,864.32","62.38","47.98","Лебедев Станислав Артурович","06.10.2025, Подались","1,214","23,99"
"Подушка нижнего валка ч.2712.28.270","2712.28.270","Ашинский метзавод","4.000","2,454","СБ","162,800.00","66.34","66.34","Ряхимов Али Рафикович","07.10.2024, Отменен","9,816","30,15"
"Подушка нижнего валка ч.2712.28.270 СБ","2712.28.270 СБ","Ашинский метзавод","4.000","2,454","СБ","269,940.00","110.00","110.00","Максутов Бектурсун Абдилнабиевич","29.08.2024, Отменен","9,816","50,00"
"Подушка среднего валка ч.2712.28.260","2712.28.260","Ашинский метзавод","4.000","2,731","СБ","180,400.00","66.06","66.06","Ряхимов Али Рафикович","07.10.2024, Отменен","10,924","30,03"
"Подушка среднего валка ч.2712.28.260 СБ","2712.28.260 СБ","Ашинский метзавод","4.000","2,731","СБ","360,492.00","132.00","132.00","Максутов Бектурсун Абдилнабиевич","29.08.2024, Отменен","10,924","60,00"
"Подушка верхнего валка ч.2712.28.230","2712.28.230","Ашинский метзавод","2.000","2,890","СБ","191,400.00","66.23","66.23","Ряхимов Али Рафикович","07.10.2024, Отменен","5,780","30,10"
"Подушка верхнего валка ч.2712.28.230 СБ","2712.28.230 СБ","Ашинский метзавод","2.000","2,890","СБ","317,900.00","110.00","110.00","Максутов Бектурсун Абдилнабиевич","29.08.2024, Отменен","5,780","50,00"
"Подушка нижнего валка ч.2614.28.230","2614.28.230","Евраз НТМК","2.000","4,710","СБ","200,000.00","42.46","42.46","Лебедев Николай Леонидович","11.10.2024, Проиграли","9,420","25,00"
"Подушка валка ч.20787750 SMS Demag","20787750","Уральская сталь","1.000","5,815","ML35CrMo","240,000.00","41.27","41.27","Лебедев Николай Леонидович","01.08.2024, Проиграли","5,815","24,01"
"Подушка верхнего валка ч.2614.28.240","2614.28.240","Евраз НТМК","2.000","6,000","СБ","280,000.00","46.67","46.67","Лебедев Николай Леонидович","11.10.2024, Проиграли","12,000","25,00"
"Подушка рабочего валка ч.20787753 SMSDemag","20787753","Уральская сталь","1.000","6,180","ML35CrMo","240,000.00","38.83","38.83","Лебедев Николай Леонидович","01.08.2024, Проиграли","6,180","24,00"
"Подушка раб. валка ч.20787752 SMS Demag","20787752","Уральская сталь","1.000","6,215","25Л","250,000.00","40.23","40.23","Лебедев Николай Леонидович","01.08.2024, Проиграли","6,215","24,01"
"Подшипник","","","","","","","","","","","8,064","30,65"
"Подшипник вала трансмиссионного LGF3161-03.12G, 32844 /  NU3044X3M, 220*350*98,4 мм","LGF3161-03.12G","БНГРЭ","16.000","31","","3,000.00","96.77","96.77","Солнышкин Дмитрий Сергеевич","08.10.2025, Подались","496","30,65"
"Подшипник скольжения шейки опорного вала УСГП МКС5000 ч.ИВ-1267.00.000","ИВ-1267.00.000","ВМЗ","2.000","3,784","Ст. 4сп","908,160.00","240.00","240.00","Солнышкин Дмитрий Сергеевич","27.07.2024, Проиграли","7,568","120,00"
"Подъемный","","","","","","","","","","","6,700","71,94"
"Подъемный вал JC28/11B ч.JC28K-01-00","JC28K-01-00","АО ССК","1.000","6,700","СБ","1,420,000.00","211.94","119.40","Солнышкин Дмитрий Сергеевич","31.10.2025, Подались","6,700","71,94"
"Поковка","","","","","","","","","","","177,234.8",""
"Поковка Вал ч.18539.00.02А","18539.00.02А","Уральская сталь","2.000","18","38ХМА","850.00","47.22","47.22","Лебедев Николай Леонидович","24.01.2024, Проиграли","36","27,28"
"Поковка Вал ч.18539.00.02А","18539.00.02А","Уральская сталь","5.000","18","38ХМА","850.00","47.22","47.22","Лебедев Николай Леонидович","14.02.2024, Проиграли","90","27,78"
"Поковка Вал червячного колеса ч.14-3.5.6-173","14-3.5.6-173","Металлоинвест ХК","12.000","87","30ХГСА","3,550.40","40.81","35.37","Максутов Бектурсун Абдилнабиевич","04.12.2024, Проиграли","1,044","12,50"
"Поковка Вал шестерня ч.КР-250.7","КР-250.7","ВТЗ","","241","34ХН1М","","","","Солнышкин Дмитрий Сергеевич","23.01.2025, Мониторинг цен","482",""
"Поковка Вал шестерня ч.КР-250.7","КР-250.7","ВТЗ","2.000","241","34ХН1М","9,900.00","41.08","41.08","Солнышкин Дмитрий Сергеевич","23.01.2025, Мониторинг цен","482","16,73"
"Поковка Вал ч.14-0689-ДМ-031","14-0689-ДМ-031","Металлоинвест","2.000","245","40Х","9,187.50","37.50","37.50","Нюняев Василий Евгеньевич","07.05.2025, Проиграли","490","15,00"
"Поковка вал-шестерни ч.ОФ-2022-32.00.00(и)П МГОК","ОФ-2022-32.00.00(и) П","ОЭМК","1.000","268","<Объект не найден> (9360:a20ee89a8ffb8db511ef6386347440ff)","13,442.88","50.16","50.16","Максутов Бектурсун Абдилнабиевич","05.09.2024, Проиграли","268","22,80"
"Поковка Вал ротора ч.ДМ-0747","ДМ-0747","Сясьский ЦБК","1.000","400","40CrNi2MoA","19,000.00","47.50","47.50","Левичев Никита Сергеевич","26.02.2025, Проиграли","400","20,00"
"Поковка Вал пилы ч.16-0245-НО-009","16-0245-НО-009","Металлоинвест","2.000","409","40ХН","15,508.48","37.92","28.17","Максутов Бектурсун Абдилнабиевич","20.05.2025, Проиграли","818","13,00"
"Поковка Вал-шестерня ч.3-444464","3-444464","Южуралмаш","1.000","580","40CrNi","22,000.00","37.93","37.93","Жуков Евгений Александрович","30.01.2025, Проиграли","580","18,00"
"Поковка гребного вала 4850х160 КМ25А","ТЗ","ВЛРП ООО","4.000","748","20Х13","33,120.00","44.28","44.28","Хусаева Патимат Халидовна","13.01.2025, Не участвовали","2,992","19,25"
"Поковка оси валка ч.31-02-04-339.00.001","31-02-04-339.00.001","ПРОМСОРТ","12.000","768.7","38ХМА","26,541.19","34.53","34.53","Диденко Виталий Тимофеевич","15.05.2025, Отменен","9,224.4","14,31"
"Поковка оси валка ч.31-02-04-339.00.001","31-02-04-339.00.001","ПРОМСОРТ","12.000","768.7","38ХМА","87,186.34","113.42","113.42","Диденко Виталий Тимофеевич","07.03.2025, Отменен","9,224.4","50,00"
"Поковка Вал ч.5205-13","5205-13","Серовский Завод Ферросплавов","1.000","812","40Х","34,794.20","42.85","42.85","Аскеров Аскер Алиевич","20.01.2025, Не участвовали","812","8,57"
"Поковка вал ч.18-549-ТХ-01.007","18-549-ТХ-01.007","СУЭК АО","1.000","842","06ХН28МДТ","97,251.00","115.50","115.50","Пилюгин Дмитрий Михайлович","26.07.2024, Отменен","842",""
"Поковка вал ч.18-549-ТХ-01.007","18-549-ТХ-01.007","СУЭК АО","1.000","842","06ХН28МДТ","146,860.00","174.42","174.42","Пилюгин Дмитрий Михайлович","29.07.2024, Проиграли","842","91,32"
"Поковка вал ч.1-149043","1-149043","Уральская сталь","1.000","875","38Х2НМ","40,000.00","45.71","45.71","Лебедев Николай Леонидович","24.01.2024, Проиграли","875","27,00"
"Поковка вал барабана ч.2072-00-02","2072-00-02","Уральская сталь","2.000","969","40Х","45,000.00","46.44","46.44","Лебедев Николай Леонидович","24.01.2024, Проиграли","1,938","27,00"
"Поковка Вал ротора ч.ОДМЦ-1809","ОДМЦ-1809","Сясьский ЦБК","1.000","990","40Х","25,000.00","25.25","25.25","Левичев Никита Сергеевич","17.10.2024, Отменен","990","10,00"
"Поковка Вал ротора ч.ОДМЦ-1809","ОДМЦ-1809","Сясьский ЦБК","1.000","990","40Х","40,000.00","40.40","40.40","Левичев Никита Сергеевич","28.10.2024, Проиграли","990","18,69"
"Поковка Вал ротора ч.ОДМЦ-1810","ОДМЦ-1810","Сясьский ЦБК","1.000","990","40Х","25,000.00","25.25","25.25","Левичев Никита Сергеевич","17.10.2024, Отменен","990","10,00"
"Поковка Вал ротора ч.ОДМЦ-1810","ОДМЦ-1810","Сясьский ЦБК","1.000","990","40Х","40,000.00","40.40","40.40","Левичев Никита Сергеевич","28.10.2024, Проиграли","990","18,69"
"Поковка Вал ротора ч.ОДМЦ-1810","ОДМЦ-1810","Сясьский ЦБК","1.000","990","40Х","44,500.00","44.95","44.95","Левичев Никита Сергеевич","26.02.2025, Проиграли","990","18,69"
"Поковка вал -шестерня Z=28 M=12 ч.1064.07.205-1","1064.07.205-1","Русский Уголь","2.000","1,035","34ХН1М","","","","Жуков Евгений Александрович","23.12.2024, Проиграли","2,070","19,00"
"Поковка Вал ч.5242-17А","5242-17А","Серовский Завод Ферросплавов","1.000","1,120","40Х","38,393.60","34.28","34.28","Аскеров Аскер Алиевич","20.01.2025, Не участвовали","1,120","8,57"
"Поковка вала ч.7-14-1А","7-14-1А","Уральская сталь","1.000","1,245","40Х","56,000.00","44.98","44.98","Лебедев Николай Леонидович","24.01.2024, Проиграли","1,245","27,00"
"Поковка Вал ч.3-444465","3-444465","Южуралмаш","1.000","1,410","40Х","42,000.00","29.79","29.79","Жуков Евгений Александрович","30.01.2025, Проиграли","1,410","13,00"
"Поковка валок Ø392 ч.2-777106А","2-777106А","ЧТПЗ","1.000","1,424","9Х2МФ","48,917.88","34.35","22.90","Максутов Бектурсун Абдилнабиевич","06.12.2024, Проиграли","1,424","12,29"
"Поковка Вал шестерня ч.1060.07.103","1060.07.103","Русский Уголь","3.000","1,530","34ХН1М","54,000.00","35.29","30.72","Жуков Евгений Александрович","23.12.2024, Проиграли","1,530","15,69"
"Поковка Вал ч.25.01.4396.00.001","25.01.4396.00.001","Ашинский метзавод","1.000","1,575","40Х","102,375.00","65.00","65.00","Максутов Бектурсун Абдилнабиевич","27.08.2024, Проиграли","1,575","25,00"
"Поковка Вал ч.25.01.4396.00.001","25.01.4396.00.001","Ашинский метзавод","1.000","1,575","40Х","151,200.00","96.00","96.00","Максутов Бектурсун Абдилнабиевич","27.08.2024, Проиграли","1,575","40,00"
"Поковка Вал ч.25.01.4396.00.001","25.01.4396.00.001","Ашинский метзавод","2.000","1,575","40Х","38,661.25","24.55","24.55","Максутов Бектурсун Абдилнабиевич","05.06.2025, Проиграли","3,150","10,11"
"Поковка вал барабана ч.КХ6-12А-11А","КХ6-12А-11А","Уральская сталь","1.000","1,580","40Х","72,000.00","45.57","45.57","Лебедев Николай Леонидович","24.01.2024, Проиграли","1,580","27,00"
"Поковка Валок ч.135-3Б","135-3Б","ЧТПЗ","14.000","1,756","50","70,217.17","39.99","22.28","Лебедев Станислав Артурович","04.04.2025, Проиграли","24,584","9,40"
"Поковка вал барабана ч.1004.11.05-2","1004.11.05-2","Русский Уголь","4.000","1,825","34ХН1М","","","","Жуков Евгений Александрович","23.12.2024, Проиграли","7,300","16,00"
"Поковка валок Ø448 ч.2-777106А","2-777106А","ЧТПЗ","2.000","1,845","9Х2МФ","64,038.13","34.71","23.14","Максутов Бектурсун Абдилнабиевич","06.12.2024, Проиграли","3,690","12,47"
"Поковка Вал ч.М1-200710","М1-200710","ЧТПЗ","1.000","1,930","40Х","69,480.00","36.00","36.00","Нюняев Василий Евгеньевич","03.04.2025, Отменен","1,930","15,00"
"Поковка Вал приводной полый ч.119.0125.ГП.05","119.0125.ГП.05","МЗТМ","2.000","2,096","5ХНМ","57,000.00","27.19","27.19","Матитов Магомедтагир Ахмедович","22.04.2025, Проиграли","4,192","14,00"
"Поковка Валок нажимной ч.119.0006.ГП.3.09","119.0006.ГП.3.09","МЗТМ","10.000","2,625","5ХНМ","73,500.00","28.00","28.00","Матитов Магомедтагир Ахмедович","22.04.2025, Проиграли","26,250","14,00"
"Поковка Вал-шестерня РЧЗ ч.2-189180","2-189180","Южуралмаш","1.000","3,000","40ХН2МА","96,738.45","32.25","32.25","Максутов Бектурсун Абдилнабиевич","14.03.2025, Проиграли","3,000","14,60"
"Поковка вала ротора ч.1502-76-05П","1502-76-05П","ИСО ООО","1.000","4,400","нет","73,000.00","16.59","12.95","Коновалов Данила Евгеньевич","28.07.2025, Проиграли","4,400","5,61"
